"_time","ac_power","total-cpu-utilization","total-disk-accesses","total-disk-blocks","total-disk-utilization","total-instructions_retired","total-last_level_cache_references","total-memory_bus_transactions","total-unhalted_core_cycles"
"03:07:24 2008-Apr-23","236.0","77.08",0,0,0,1768122485,130748710,5343680,1958786743
"03:07:25 2008-Apr-23","234.0","76.06",0,0,0,1745922150,129124370,5288338,1923225841
"03:07:26 2008-Apr-23","235.0","82.61",0,0,0,1960896489,129096777,6021772,2025880656
"03:07:27 2008-Apr-23","234.0","70.97",2,16,"2.8",1821347640,134691302,5497107,1977774598
"03:07:28 2008-Apr-23","235.0","68.61","13.73","149.02","9.8",1811216598,133977801,5464193,1960747420
"03:07:29 2008-Apr-23","234.0","77.54",0,0,0,1775200582,131272006,5371346,1950209982
"03:07:30 2008-Apr-23","235.0","78.88",0,0,0,1754033608,129720558,5288320,1940866806
"03:07:31 2008-Apr-23","235.0","80.00",0,0,0,1731309647,128045863,5245159,1931872676
"03:07:32 2008-Apr-23","235.0","80.25","1.98","15.84","2.77",1728259389,127803395,5220896,1908706662
"03:07:33 2008-Apr-23","233.0","80.31","11.65","132.04","7.77",1831047967,127510388,5597415,1994523315
"03:07:34 2008-Apr-23","234.0","74.58",0,0,0,1718757127,127132632,5195753,1897263328
"03:07:35 2008-Apr-23","235.0","69.00",0,0,0,1718703895,127123756,5201384,1891435910
"03:07:36 2008-Apr-23","234.0","70.43",0,0,0,1718679174,127138342,5197269,1894104065
"03:07:37 2008-Apr-23","234.0","69.96","1.01","8.08","1.62",1718843418,127142012,5219751,1887877228
"03:07:38 2008-Apr-23","235.0","67.64",0,0,0,1721087569,127310661,5228507,1891119227
"03:07:39 2008-Apr-23","236.0","68.69",14,160,"8.8",1721507766,127331091,5214248,1889023744
"03:07:40 2008-Apr-23","234.0","70.74",0,0,0,1779765782,131610343,5382419,1942052587
"03:07:41 2008-Apr-23","234.0","78.68",0,0,0,1746648984,129193381,5284607,1943716867
"03:07:42 2008-Apr-23","234.0","68.65","3.96","31.68","2.38",1773110774,131144508,5365947,1926329486
"03:07:43 2008-Apr-23","235.0","73.73",0,0,0,1737666946,128520656,5283186,1925484047
"03:07:44 2008-Apr-23","234.0","78.36","18.87","218.87","11.32",1779388731,131623186,5393401,1954196877
"03:07:45 2008-Apr-23","234.0","70.70",0,0,0,1738146289,128572653,5258189,1913482429
"03:07:46 2008-Apr-23","235.0","76.95",0,0,0,1749749966,129420697,5281411,1955345962
"03:07:47 2008-Apr-23","234.0","76.54","1.98","15.84","2.77",1737153393,128249711,5332599,1915270421
"03:07:48 2008-Apr-23","235.0","80.46",0,0,0,1724828531,127554657,5229303,1916974465
"03:07:49 2008-Apr-23","233.0","81.64","12.75","188.24","10.2",1764719608,130525548,5331256,1958670133
"03:07:50 2008-Apr-23","235.0","80.43",0,0,0,1742520603,128894034,5277849,1945668560
"03:07:51 2008-Apr-23","234.0","79.60",0,0,0,1719049367,127150074,5227450,1913252083
"03:07:52 2008-Apr-23","234.0","79.25",12,96,"8.4",1733844421,128231985,5241220,1934036095
"03:07:53 2008-Apr-23","235.0","79.41",0,0,0,1729155105,127889350,5258088,1910386555
"03:07:54 2008-Apr-23","234.0","79.32","11.76","125.49","8.24",1731846699,128068088,5222214,1908898345
"03:07:55 2008-Apr-23","235.0","77.47",0,0,0,1768707671,130794780,5367856,1942525753
"03:07:56 2008-Apr-23","235.0","82.74",0,0,0,1735174229,128329442,5238133,1943009515
"03:07:57 2008-Apr-23","232.0","77.93","7.92","63.37","5.15",1719068306,127154794,5226870,1914429080
"03:07:58 2008-Apr-23","234.0","80.96",0,0,0,1728564255,127841779,5235128,1911315734
"03:07:59 2008-Apr-23","234.0","80.70","11.88","142.57","8.32",1756500044,129920711,5319410,1957404750
"03:08:00 2008-Apr-23","234.0","79.60",0,0,0,1727886797,127796235,5213340,1923231919
"03:08:01 2008-Apr-23","233.0","80.56",0,0,0,1839463300,128108222,5607626,1991697975
"03:08:02 2008-Apr-23","234.0","80.02","7.84","62.75","5.49",1804681479,133437511,5508017,1961127610
"03:08:03 2008-Apr-23","236.0","78.07",0,0,0,1719157880,127156750,5208648,1911467440
"03:08:04 2008-Apr-23","233.0","83.82","12.87","142.57","9.5",1718728289,127107710,5187436,1916423648
"03:08:05 2008-Apr-23","234.0","77.77",0,0,0,1748512833,129289735,5267901,1947522818
"03:08:06 2008-Apr-23","233.0","84.60",0,0,0,1855957935,129296133,5649728,1984516373
"03:08:07 2008-Apr-23","237.0","79.25","1.98","15.84","2.77",1743509266,128944505,5270141,1937752315
"03:08:08 2008-Apr-23","233.0","79.70",0,0,0,1735113521,128354457,5279857,1927343710
"03:08:09 2008-Apr-23","235.0","79.57","11.88","126.73","9.5",1718881698,127126216,5207165,1913228734
"03:08:10 2008-Apr-23","233.0","83.08",0,0,0,1777874210,131501606,5343335,2011927599
"03:08:11 2008-Apr-23","234.0","81.52",0,0,0,1725627663,127636758,5229211,1933247211
"03:08:12 2008-Apr-23","234.0","82.53",2,16,"2.8",1728859924,127875369,5232035,1931852047
"03:08:13 2008-Apr-23","234.0","77.71",0,0,0,1721745771,127324610,5241320,1913971722
"03:08:14 2008-Apr-23","234.0","80.52",21,272,"9.6",1750301730,129460266,5287818,1952728314
"03:08:15 2008-Apr-23","234.0","81.25",0,0,0,1750226259,129454715,5289748,1958412906
"03:08:16 2008-Apr-23","233.0","81.47",0,0,0,1861022101,129673914,5678155,1990160620
"03:08:17 2008-Apr-23","235.0","79.10",4,32,"2.4",1758858777,130112292,5362629,1959022573
"03:08:18 2008-Apr-23","234.0","80.79",0,0,0,1739535769,128664480,5264495,1935038541
"03:08:19 2008-Apr-23","234.0","80.25","14.85","166.34","10.69",1730735320,127998385,5226706,1936180623
"03:08:20 2008-Apr-23","233.0","81.52",0,0,0,1724847339,127567854,5199376,1919435808
"03:08:21 2008-Apr-23","234.0","78.68",0,0,0,1748778526,129320846,5284557,1936297051
"03:08:22 2008-Apr-23","234.0","81.03","1.01","8.08","2.42",1746380107,129160766,5279680,1956002760
"03:08:23 2008-Apr-23","234.0","77.97",0,0,0,1728524927,127855776,5238209,1913924552
"03:08:24 2008-Apr-23","232.0","80.39","12.62","139.81","10.49",1784835538,132014540,5393205,1977307161
"03:08:25 2008-Apr-23","234.0","76.57",0,0,0,1779785847,131634627,5400991,1961593057
"03:08:26 2008-Apr-23","234.0","72.70",0,0,0,1790386987,132410975,5453901,1940589338
"03:08:27 2008-Apr-23","236.0","79.22","1.98","15.84","2.77",1760446068,130192739,5325842,1971605712
"03:08:28 2008-Apr-23","232.0","80.26",0,0,0,1719338788,127164357,5194346,1931826237
"03:08:29 2008-Apr-23",233,"80.24","12.12","129.29","8.89",1846476744,128619139,5590968,2000944763
"03:08:30 2008-Apr-23","234.0","80.62",0,0,0,1866991687,130090441,5765991,2006194142
"03:08:31 2008-Apr-23","234.0","80.37",0,0,0,1814107766,134180681,5531210,1996390286
"03:08:32 2008-Apr-23","235.0","79.16",11,88,"8.4",1737704800,128522896,5266737,1927460877
"03:08:33 2008-Apr-23","236.0","82.37",0,0,0,1728769325,127839396,5255697,1918863881
"03:08:34 2008-Apr-23","233.0","79.25","12.87","142.57","8.71",1894080323,132150671,5796328,2036560675
"03:08:35 2008-Apr-23","235.0","69.90",0,0,0,1785646202,132017474,5438818,1937430586
"03:08:36 2008-Apr-23","236.0","79.92",0,0,0,1756348565,129897858,5294149,1963690740
"03:08:37 2008-Apr-23","236.0","80.54",9,72,6,1747469095,129267372,5317384,1954753225
"03:08:38 2008-Apr-23","234.0","79.01",0,0,0,1751583887,129551637,5295893,1968606164
"03:08:39 2008-Apr-23","235.0","84.70","11.88","126.73","10.69",1864373366,129946279,5698904,2002230019
"03:08:40 2008-Apr-23","234.0","78.63",0,0,0,1718775320,127136436,5187980,1919379409
"03:08:41 2008-Apr-23","234.0","79.64",0,0,0,1743698962,128975359,5290415,1941032041
"03:08:42 2008-Apr-23","234.0","79.24","7.92","63.37","7.13",1760138647,130183480,5340702,1962543843
"03:08:43 2008-Apr-23","233.0","79.58",0,0,0,1719234489,127157938,5232294,1917182806
"03:08:44 2008-Apr-23","234.0","76.02","21.78","277.23","9.9",1837589056,135907664,5567433,2028232612
"03:08:45 2008-Apr-23","234.0","75.96",0,0,0,1742476990,128861385,5284002,1901313754
